local_date_time,TTT_C,TTL_C,TTH_C,TTTFEEL_C,DEWPOINT_C,PROBPCP_PERCENT,RRR_MM,RELHUM_PERCENT,FF_KMH,FX_KMH,DD_DEG,SUN_MIN,IRRADIANCE_WM2,FRESHSNOW_CM,PRESSURE_HPA
2023-03-08 01:00:00+01:00,3,2.1,3.9,0.0,0.0,63,0.0,79,11,26,220,0,0,0.0,1007
2023-03-08 04:00:00+01:00,2,1.0,3.4,-1.0,-1.0,11,0.0,80,7,20,210,0,0,0.0,1005
2023-03-08 07:00:00+01:00,2,1.0,3.4,-1.0,-1.0,38,0.0,82,9,19,190,0,0,0.0,1002
2023-03-08 10:00:00+01:00,5,3.9,5.5,2.0,1.0,53,0.1,76,11,22,220,33,125,0.0,1002
2023-03-08 13:00:00+01:00,8,6.8,9.2,6.0,2.0,59,0.1,68,17,33,240,27,219,0.0,1002
2023-03-08 16:00:00+01:00,9,7.8,10.6,8.0,4.0,78,0.5,70,20,41,250,21,97,0.0,1001
2023-03-08 19:00:00+01:00,8,7.0,9.6,6.0,5.0,83,2.4,79,17,39,230,0,0,0.0,1001
2023-03-08 22:00:00+01:00,9,7.5,10.3,7.0,5.0,84,2.3,75,19,39,230,0,0,0.0,1001
2023-03-09 01:00:00+01:00,9,7.4,10.4,7.0,5.0,84,2.6,76,22,46,240,0,0,0.0,1001
2023-03-09 04:00:00+01:00,9,7.3,9.9,7.0,5.0,80,1.9,77,20,46,230,0,0,0.0,1003
2023-03-09 07:00:00+01:00,8,6.4,9.2,6.0,4.0,63,0.4,77,19,41,240,0,0,0.0,1005
2023-03-09 10:00:00+01:00,9,8.3,10.3,8.0,5.0,36,0.2,73,20,41,240,72,228,0.0,1007
2023-03-09 13:00:00+01:00,13,12.2,14.6,13.0,4.0,14,0.0,54,26,50,250,96,481,0.0,1006
2023-03-09 16:00:00+01:00,15,13.6,16.0,15.0,3.0,10,0.0,45,22,48,250,96,294,0.0,1004
2023-03-09 19:00:00+01:00,12,10.4,12.8,10.0,3.0,8,0.0,57,13,37,240,6,0,0.0,1003
2023-03-09 22:00:00+01:00,8,6.2,8.8,5.0,3.0,9,0.0,72,9,24,220,0,0,0.0,1003
2023-03-10 01:00:00+01:00,7,5.7,8.5,5.0,3.0,42,0.2,74,11,24,220,0,0,0.0,1002
2023-03-10 04:00:00+01:00,7,5.3,8.1,4.0,4.0,74,1.2,80,13,28,220,0,0,0.0,1000
2023-03-10 07:00:00+01:00,6,4.5,7.5,4.0,3.0,76,1.8,82,15,30,230,0,0,0.0,1000
2023-03-10 10:00:00+01:00,8,7.1,9.5,6.0,4.0,79,1.4,75,20,41,230,42,114,0.0,1000
2023-03-10 13:00:00+01:00,10,9.0,11.6,9.0,4.0,77,1.0,65,28,54,240,30,236,0.0,1001
